Request Year:,2019
Test:,187
Test Description:,
TestRegime Name:,FirstCell dQdV C/25
TestRegime Suffix:,HWL
TestRegime CellSize:,Default cellsize
TestRegime Version:,1
Project Group Name:,Immediate
Project Group Description:,Immediate
Project Group Memo:,
Project Group Storage Environment:,R.T./AMB
Project Group Test Environment:,R.T./AMB
Number Of Cells:,1
Parameter names:,
Parameter values:,
Variable names:
LotID:,
Lot Description:,
Date Made:,1/21/2003 0:00
Origin:,Other
Requestor:,Admin
Product ID:,Default product
Storage Temp:,R.T./AMB
Storage Delay:,0 days
Test Temp:,R.T./AMB
Start Time:,02/22/2019 16:21:35
End Time:,1/1/0001 0:00
Operator Instructions:,Also connect cell temp to channel TC-K and ambient temp to NTC
#RESULTS CHECK
ReqYear,Test,CellNr,Type,Value,Reason,
2019,187,1,1,3272,3,
#END RESULTS CHECK
Test,Cell,Rack,Shelf,Position,Cell ID,Step,Cycle,Total Time (Seconds),Load On Time (Seconds),Step Time (Seconds),Cycle Charge Time (Seconds),Cycle Discharge Time (Seconds),Real Time,Position Start Time,Voltage (mV),Current (mA),Charge Capacity (mAh),Discharge Capacity (mAh),Charge Capacity (mWh),Discharge Capacity (mWh),ReasonCode,50% DoD (mV),PeakPower 1 (W),PeakPower 2 (W),Open Circuit Voltage 1 (V),Open Circuit Voltage 2 (V),Internal Resistance 1 (mOhm),Internal Resistance 2 (mOhm),Ambient temperature (°C),Cell surface temperature (°C),DC Internal Resistance (mOhm),AC Internal Resistance (mOhm),Station Temperature (°C),
187,1,SBT0550,001,1,,8,2,283150.183,277720,57297.406,57297,0,02/25/2019 23:02:36,02/22/2019 16:23:26,3336.208,1640.2,26101.168,0,85543.917,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283170.183,277740,57317.406,57317,0,02/25/2019 23:02:56,02/22/2019 16:23:26,3336.3872,1639.8,26110.279,0,85574.314,0,30,0,0,0,0,0,0,0,26.54,26,,,,
187,1,SBT0550,001,1,,8,2,283190.183,277760,57337.406,57337,0,02/25/2019 23:03:16,02/22/2019 16:23:26,3336.4092,1639.8,26119.39,0,85604.711,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283210.183,277780,57357.406,57357,0,02/25/2019 23:03:36,02/22/2019 16:23:26,3336.4066,1639.8,26128.5,0,85635.108,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283230.183,277800,57377.406,57377,0,02/25/2019 23:03:56,02/22/2019 16:23:26,3336.3872,1639.8,26137.611,0,85665.505,0,30,0,0,0,0,0,0,0,26.54,26,,,,
187,1,SBT0550,001,1,,8,2,283250.183,277820,57397.406,57397,0,02/25/2019 23:04:16,02/22/2019 16:23:26,3336.2334,1639.9,26146.722,0,85695.901,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283270.183,277840,57417.406,57417,0,02/25/2019 23:04:36,02/22/2019 16:23:26,3336.3082,1639.9,26155.833,0,85726.297,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283290.183,277860,57437.406,57437,0,02/25/2019 23:04:56,02/22/2019 16:23:26,3336.2608,1639.8,26164.944,0,85756.694,0,30,0,0,0,0,0,0,0,26.54,26,,,,
187,1,SBT0550,001,1,,8,2,283310.183,277880,57457.406,57457,0,02/25/2019 23:05:16,02/22/2019 16:23:26,3336.4204,1639.8,26174.054,0,85787.091,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283330.183,277900,57477.406,57477,0,02/25/2019 23:05:36,02/22/2019 16:23:26,3336.476,1640.1,26183.165,0,85817.489,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283350.183,277920,57497.406,57497,0,02/25/2019 23:05:56,02/22/2019 16:23:26,3336.4574,1639.9,26192.276,0,85847.887,0,30,0,0,0,0,0,0,0,26.55,26,,,,
187,1,SBT0550,001,1,,8,2,283370.183,277940,57517.406,57517,0,02/25/2019 23:06:16,02/22/2019 16:23:26,3336.6788,1639.9,26201.387,0,85878.286,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283390.183,277960,57537.406,57537,0,02/25/2019 23:06:36,02/22/2019 16:23:26,3336.5668,1639.9,26210.497,0,85908.684,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283410.183,277980,57557.406,57557,0,02/25/2019 23:06:56,02/22/2019 16:23:26,3336.6796,1639.9,26219.608,0,85939.082,0,30,0,0,0,0,0,0,0,26.54,26,,,,
187,1,SBT0550,001,1,,8,2,283430.183,278000,57577.406,57577,0,02/25/2019 23:07:16,02/22/2019 16:23:26,3336.66,1639.9,26228.719,0,85969.481,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283450.183,278020,57597.406,57597,0,02/25/2019 23:07:36,02/22/2019 16:23:26,3336.6868,1639.6,26237.83,0,85999.88,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283470.183,278040,57617.406,57617,0,02/25/2019 23:07:56,02/22/2019 16:23:26,3336.6478,1640,26246.94,0,86030.279,0,30,0,0,0,0,0,0,0,26.55,26,,,,
187,1,SBT0550,001,1,,8,2,283490.183,278060,57637.406,57637,0,02/25/2019 23:08:16,02/22/2019 16:23:26,3336.7192,1640.1,26256.051,0,86060.679,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283510.183,278080,57657.406,57657,0,02/25/2019 23:08:36,02/22/2019 16:23:26,3336.5792,1640,26265.162,0,86091.078,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283530.183,278100,57677.406,57677,0,02/25/2019 23:08:56,02/22/2019 16:23:26,3336.54,1639.8,26274.273,0,86121.478,0,30,0,0,0,0,0,0,0,26.53,26.1,,,,
187,1,SBT0550,001,1,,8,2,283550.183,278120,57697.406,57697,0,02/25/2019 23:09:16,02/22/2019 16:23:26,3336.579,1639.9,26283.383,0,86151.877,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283570.183,278140,57717.406,57717,0,02/25/2019 23:09:36,02/22/2019 16:23:26,3336.6436,1640,26292.494,0,86182.277,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283590.183,278160,57737.406,57737,0,02/25/2019 23:09:56,02/22/2019 16:23:26,3336.8006,1640.2,26301.605,0,86212.678,0,30,0,0,0,0,0,0,0,26.54,26.1,,,,
187,1,SBT0550,001,1,,8,2,283610.183,278180,57757.406,57757,0,02/25/2019 23:10:16,02/22/2019 16:23:26,3336.9028,1640,26310.716,0,86243.078,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283630.183,278200,57777.406,57777,0,02/25/2019 23:10:36,02/22/2019 16:23:26,3336.8728,1640.1,26319.827,0,86273.478,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283650.183,278220,57797.406,57797,0,02/25/2019 23:10:56,02/22/2019 16:23:26,3336.7816,1640,26328.937,0,86303.879,0,30,0,0,0,0,0,0,0,26.55,26,,,,
187,1,SBT0550,001,1,,8,2,283670.183,278240,57817.406,57817,0,02/25/2019 23:11:16,02/22/2019 16:23:26,3336.9526,1640,26338.048,0,86334.28,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283690.183,278260,57837.406,57837,0,02/25/2019 23:11:36,02/22/2019 16:23:26,3336.9132,1639.9,26347.159,0,86364.681,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283710.183,278280,57857.406,57857,0,02/25/2019 23:11:56,02/22/2019 16:23:26,3336.9338,1640,26356.27,0,86395.084,0,30,0,0,0,0,0,0,0,26.55,26,,,,
187,1,SBT0550,001,1,,8,2,283730.183,278300,57877.406,57877,0,02/25/2019 23:12:16,02/22/2019 16:23:26,3336.877,1640,26365.381,0,86425.485,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283750.183,278320,57897.406,57897,0,02/25/2019 23:12:36,02/22/2019 16:23:26,3336.8762,1640,26374.492,0,86455.887,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283770.183,278340,57917.406,57917,0,02/25/2019 23:12:56,02/22/2019 16:23:26,3337.092,1639.8,26383.603,0,86486.288,0,30,0,0,0,0,0,0,0,26.53,26,,,,
187,1,SBT0550,001,1,,8,2,283790.183,278360,57937.406,57937,0,02/25/2019 23:13:16,02/22/2019 16:23:26,3336.7018,1640.1,26392.714,0,86516.69,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283810.183,278380,57957.406,57957,0,02/25/2019 23:13:36,02/22/2019 16:23:26,3336.8374,1640.1,26401.824,0,86547.091,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283830.183,278400,57977.406,57977,0,02/25/2019 23:13:56,02/22/2019 16:23:26,3336.8104,1640.2,26410.935,0,86577.492,0,30,0,0,0,0,0,0,0,26.54,26,,,,
187,1,SBT0550,001,1,,8,2,283850.183,278420,57997.406,57997,0,02/25/2019 23:14:16,02/22/2019 16:23:26,3336.7374,1640.2,26420.046,0,86607.893,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283870.183,278440,58017.406,58017,0,02/25/2019 23:14:36,02/22/2019 16:23:26,3336.9208,1639.9,26429.157,0,86638.294,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283890.183,278460,58037.406,58037,0,02/25/2019 23:14:56,02/22/2019 16:23:26,3336.9242,1639.8,26438.268,0,86668.695,0,30,0,0,0,0,0,0,0,26.54,26,,,,
187,1,SBT0550,001,1,,8,2,283910.183,278480,58057.406,58057,0,02/25/2019 23:15:16,02/22/2019 16:23:26,3336.834,1639.8,26447.378,0,86699.097,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283930.183,278500,58077.406,58077,0,02/25/2019 23:15:36,02/22/2019 16:23:26,3337.0452,1639.9,26456.489,0,86729.5,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283950.183,278520,58097.406,58097,0,02/25/2019 23:15:56,02/22/2019 16:23:26,3336.97,1639.8,26465.6,0,86759.903,0,30,0,0,0,0,0,0,0,26.53,26,,,,
187,1,SBT0550,001,1,,8,2,283970.183,278540,58117.406,58117,0,02/25/2019 23:16:16,02/22/2019 16:23:26,3336.9822,1640.1,26474.711,0,86790.305,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283990.183,278560,58137.406,58137,0,02/25/2019 23:16:36,02/22/2019 16:23:26,3337.128,1640.1,26483.822,0,86820.708,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284010.183,278580,58157.406,58157,0,02/25/2019 23:16:56,02/22/2019 16:23:26,3337.0992,1640.3,26492.932,0,86851.112,0,30,0,0,0,0,0,0,0,26.54,26,,,,
187,1,SBT0550,001,1,,8,2,284030.183,278600,58177.406,58177,0,02/25/2019 23:17:16,02/22/2019 16:23:26,3337.1646,1640.1,26502.043,0,86881.516,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284050.183,278620,58197.406,58197,0,02/25/2019 23:17:36,02/22/2019 16:23:26,3337.2548,1639.9,26511.154,0,86911.921,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284070.183,278640,58217.406,58217,0,02/25/2019 23:17:56,02/22/2019 16:23:26,3336.847,1639.9,26520.265,0,86942.325,0,30,0,0,0,0,0,0,0,26.53,26,,,,
187,1,SBT0550,001,1,,8,2,284090.183,278660,58237.406,58237,0,02/25/2019 23:18:16,02/22/2019 16:23:26,3337.1626,1639.9,26529.375,0,86972.729,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284110.183,278680,58257.406,58257,0,02/25/2019 23:18:36,02/22/2019 16:23:26,3337.135,1639.8,26538.486,0,87003.133,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284130.183,278700,58277.406,58277,0,02/25/2019 23:18:56,02/22/2019 16:23:26,3337.41,1639.9,26547.597,0,87033.537,0,30,0,0,0,0,0,0,0,26.53,26.1,,,,
187,1,SBT0550,001,1,,8,2,284150.183,278720,58297.406,58297,0,02/25/2019 23:19:16,02/22/2019 16:23:26,3337.1618,1640.1,26556.708,0,87063.941,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284170.183,278740,58317.406,58317,0,02/25/2019 23:19:36,02/22/2019 16:23:26,3336.7322,1640,26565.818,0,87094.345,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284190.183,278760,58337.406,58337,0,02/25/2019 23:19:56,02/22/2019 16:23:26,3337.0336,1640,26574.929,0,87124.749,0,30,0,0,0,0,0,0,0,26.54,26,,,,
187,1,SBT0550,001,1,,8,2,284210.183,278780,58357.406,58357,0,02/25/2019 23:20:16,02/22/2019 16:23:26,3337.1544,1640,26584.04,0,87155.153,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284230.183,278800,58377.406,58377,0,02/25/2019 23:20:36,02/22/2019 16:23:26,3337.1274,1639.9,26593.151,0,87185.556,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284250.183,278820,58397.406,58397,0,02/25/2019 23:20:56,02/22/2019 16:23:26,3336.9642,1639.7,26602.261,0,87215.959,0,30,0,0,0,0,0,0,0,26.53,26.1,,,,
187,1,SBT0550,001,1,,8,2,284270.183,278840,58417.406,58417,0,02/25/2019 23:21:16,02/22/2019 16:23:26,3337.2682,1640.1,26611.372,0,87246.363,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284290.183,278860,58437.406,58437,0,02/25/2019 23:21:36,02/22/2019 16:23:26,3337.2696,1639.9,26620.483,0,87276.768,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284310.183,278880,58457.406,58457,0,02/25/2019 23:21:56,02/22/2019 16:23:26,3337.427,1640,26629.594,0,87307.174,0,30,0,0,0,0,0,0,0,26.54,26.1,,,,
187,1,SBT0550,001,1,,8,2,284330.183,278900,58477.406,58477,0,02/25/2019 23:22:16,02/22/2019 16:23:26,3337.1974,1640.1,26638.705,0,87337.58,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284350.183,278920,58497.406,58497,0,02/25/2019 23:22:36,02/22/2019 16:23:26,3337.2876,1639.9,26647.816,0,87367.985,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284370.183,278940,58517.406,58517,0,02/25/2019 23:22:56,02/22/2019 16:23:26,3337.4662,1640,26656.926,0,87398.391,0,30,0,0,0,0,0,0,0,26.53,26,,,,
187,1,SBT0550,001,1,,8,2,284390.183,278960,58537.406,58537,0,02/25/2019 23:23:16,02/22/2019 16:23:26,3337.171,1639.7,26666.037,0,87428.797,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284410.183,278980,58557.406,58557,0,02/25/2019 23:23:36,02/22/2019 16:23:26,3337.4494,1640.1,26675.148,0,87459.201,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284430.183,279000,58577.406,58577,0,02/25/2019 23:23:56,02/22/2019 16:23:26,3337.4994,1639.9,26684.259,0,87489.606,0,30,0,0,0,0,0,0,0,26.53,26,,,,
187,1,SBT0550,001,1,,8,2,284450.183,279020,58597.406,58597,0,02/25/2019 23:24:16,02/22/2019 16:23:26,3337.2662,1640.1,26693.369,0,87520.011,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284470.183,279040,58617.406,58617,0,02/25/2019 23:24:36,02/22/2019 16:23:26,3337.4298,1640.1,26702.48,0,87550.417,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284490.183,279060,58637.406,58637,0,02/25/2019 23:24:56,02/22/2019 16:23:26,3337.3102,1639.7,26711.591,0,87580.824,0,30,0,0,0,0,0,0,0,26.53,26.1,,,,
187,1,SBT0550,001,1,,8,2,284510.183,279080,58657.406,58657,0,02/25/2019 23:25:16,02/22/2019 16:23:26,3337.4084,1640.2,26720.702,0,87611.23,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284530.183,279100,58677.406,58677,0,02/25/2019 23:25:36,02/22/2019 16:23:26,3337.0226,1640.1,26729.813,0,87641.636,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284550.183,279120,58697.406,58697,0,02/25/2019 23:25:56,02/22/2019 16:23:26,3337.4902,1639.7,26738.924,0,87672.042,0,30,0,0,0,0,0,0,0,26.54,26,,,,
187,1,SBT0550,001,1,,8,2,284570.183,279140,58717.406,58717,0,02/25/2019 23:26:16,02/22/2019 16:23:26,3337.5852,1640,26748.034,0,87702.448,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284590.183,279160,58737.406,58737,0,02/25/2019 23:26:36,02/22/2019 16:23:26,3337.5424,1639.9,26757.145,0,87732.855,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284610.183,279180,58757.406,58757,0,02/25/2019 23:26:56,02/22/2019 16:23:26,3337.6914,1640.1,26766.256,0,87763.264,0,30,0,0,0,0,0,0,0,26.54,26,,,,
187,1,SBT0550,001,1,,8,2,284630.183,279200,58777.406,58777,0,02/25/2019 23:27:16,02/22/2019 16:23:26,3337.6856,1639.8,26775.367,0,87793.673,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284650.183,279220,58797.406,58797,0,02/25/2019 23:27:36,02/22/2019 16:23:26,3337.4706,1640.2,26784.477,0,87824.08,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284670.183,279240,58817.406,58817,0,02/25/2019 23:27:56,02/22/2019 16:23:26,3337.471,1639.9,26793.588,0,87854.487,0,30,0,0,0,0,0,0,0,26.54,26,,,,
187,1,SBT0550,001,1,,8,2,284690.183,279260,58837.406,58837,0,02/25/2019 23:28:16,02/22/2019 16:23:26,3337.6608,1640,26802.699,0,87884.895,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284710.183,279280,58857.406,58857,0,02/25/2019 23:28:36,02/22/2019 16:23:26,3337.584,1639.9,26811.81,0,87915.303,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284730.183,279300,58877.406,58877,0,02/25/2019 23:28:56,02/22/2019 16:23:26,3337.5298,1639.9,26820.92,0,87945.711,0,30,0,0,0,0,0,0,0,26.54,26,,,,
187,1,SBT0550,001,1,,8,2,284750.183,279320,58897.406,58897,0,02/25/2019 23:29:16,02/22/2019 16:23:26,3337.5734,1640,26830.031,0,87976.118,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284770.183,279340,58917.406,58917,0,02/25/2019 23:29:36,02/22/2019 16:23:26,3337.695,1640,26839.142,0,88006.526,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284790.183,279360,58937.406,58937,0,02/25/2019 23:29:56,02/22/2019 16:23:26,3337.7964,1639.9,26848.253,0,88036.935,0,30,0,0,0,0,0,0,0,26.54,26,,,,
187,1,SBT0550,001,1,,8,2,284810.183,279380,58957.406,58957,0,02/25/2019 23:30:16,02/22/2019 16:23:26,3337.7328,1639.9,26857.363,0,88067.345,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284830.183,279400,58977.406,58977,0,02/25/2019 23:30:36,02/22/2019 16:23:26,3337.8808,1639.9,26866.474,0,88097.756,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284850.183,279420,58997.406,58997,0,02/25/2019 23:30:56,02/22/2019 16:23:26,3337.471,1640,26875.585,0,88128.167,0,30,0,0,0,0,0,0,0,26.53,26,,,,
187,1,SBT0550,001,1,,8,2,284870.183,279440,59017.406,59017,0,02/25/2019 23:31:16,02/22/2019 16:23:26,3337.8766,1640,26884.696,0,88158.576,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284890.183,279460,59037.406,59037,0,02/25/2019 23:31:36,02/22/2019 16:23:26,3337.7212,1639.9,26893.806,0,88188.986,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284910.183,279480,59057.406,59057,0,02/25/2019 23:31:56,02/22/2019 16:23:26,3337.8924,1639.9,26902.917,0,88219.396,0,30,0,0,0,0,0,0,0,26.52,26,,,,
187,1,SBT0550,001,1,,8,2,284930.183,279500,59077.406,59077,0,02/25/2019 23:32:16,02/22/2019 16:23:26,3337.8322,1640,26912.028,0,88249.806,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284950.183,279520,59097.406,59097,0,02/25/2019 23:32:36,02/22/2019 16:23:26,3337.766,1639.8,26921.139,0,88280.215,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,284970.183,279540,59117.406,59117,0,02/25/2019 23:32:56,02/22/2019 16:23:26,3337.9528,1639.7,26930.25,0,88310.625,0,30,0,0,0,0,0,0,0,26.54,26,,,,
187,1,SBT0550,001,1,,8,2,284990.183,279560,59137.406,59137,0,02/25/2019 23:33:16,02/22/2019 16:23:26,3337.8086,1640,26939.361,0,88341.035,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,285010.183,279580,59157.406,59157,0,02/25/2019 23:33:36,02/22/2019 16:23:26,3338.107,1640,26948.471,0,88371.447,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,285030.183,279600,59177.406,59177,0,02/25/2019 23:33:56,02/22/2019 16:23:26,3337.7522,1640,26957.582,0,88401.858,0,30,0,0,0,0,0,0,0,26.52,26,,,,
187,1,SBT0550,001,1,,8,2,285050.183,279620,59197.406,59197,0,02/25/2019 23:34:16,02/22/2019 16:23:26,3338.0148,1639.9,26966.693,0,88432.269,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,285070.183,279640,59217.406,59217,0,02/25/2019 23:34:36,02/22/2019 16:23:26,3338.0802,1640.2,26975.804,0,88462.679,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,285090.183,279660,59237.406,59237,0,02/25/2019 23:34:56,02/22/2019 16:23:26,3337.93,1639.9,26984.914,0,88493.091,0,30,0,0,0,0,0,0,0,26.52,26,,,,
187,1,SBT0550,001,1,,8,2,285110.183,279680,59257.406,59257,0,02/25/2019 23:35:16,02/22/2019 16:23:26,3338.094,1639.9,26994.025,0,88523.503,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,285130.183,279700,59277.406,59277,0,02/25/2019 23:35:36,02/22/2019 16:23:26,3337.9912,1640,27003.136,0,88553.915,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,285150.183,279720,59297.406,59297,0,02/25/2019 23:35:56,02/22/2019 16:23:26,3338.1646,1640,27012.247,0,88584.327,0,30,0,0,0,0,0,0,0,26.52,26,,,,
187,1,SBT0550,001,1,,8,2,285170.183,279740,59317.406,59317,0,02/25/2019 23:36:16,02/22/2019 16:23:26,3337.9258,1640,27021.357,0,88614.739,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,285190.183,279760,59337.406,59337,0,02/25/2019 23:36:36,02/22/2019 16:23:26,3338.1916,1639.7,27030.468,0,88645.152,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,285210.183,279780,59357.406,59357,0,02/25/2019 23:36:56,02/22/2019 16:23:26,3338.209,1640,27039.579,0,88675.564,0,30,0,0,0,0,0,0,0,26.52,26,,,,
187,1,SBT0550,001,1,,8,2,285230.183,279800,59377.406,59377,0,02/25/2019 23:37:16,02/22/2019 16:23:26,3337.956,1639.9,27048.69,0,88705.976,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,285250.183,279820,59397.406,59397,0,02/25/2019 23:37:36,02/22/2019 16:23:26,3338.0088,1640,27057.8,0,88736.387,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,285270.183,279840,59417.406,59417,0,02/25/2019 23:37:56,02/22/2019 16:23:26,3337.9296,1639.9,27066.911,0,88766.799,0,30,0,0,0,0,0,0,0,26.53,26.1,,,,
187,1,SBT0550,001,1,,8,2,285290.183,279860,59437.406,59437,0,02/25/2019 23:38:16,02/22/2019 16:23:26,3337.7468,1640.1,27076.022,0,88797.211,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,285310.183,279880,59457.406,59457,0,02/25/2019 23:38:36,02/22/2019 16:23:26,3338.2452,1640,27085.133,0,88827.624,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,285330.183,279900,59477.406,59477,0,02/25/2019 23:38:56,02/22/2019 16:23:26,3338.0134,1640,27094.243,0,88858.037,0,30,0,0,0,0,0,0,0,26.52,26,,,,
187,1,SBT0550,001,1,,8,2,285350.183,279920,59497.406,59497,0,02/25/2019 23:39:16,02/22/2019 16:23:26,3338.2216,1639.9,27103.354,0,88888.451,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,285370.183,279940,59517.406,59517,0,02/25/2019 23:39:36,02/22/2019 16:23:26,3338.3384,1640,27112.465,0,88918.866,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,285390.183,279960,59537.406,59537,0,02/25/2019 23:39:56,02/22/2019 16:23:26,3338.2694,1640,27121.576,0,88949.282,0,30,0,0,0,0,0,0,0,26.53,25.9,,,,
187,1,SBT0550,001,1,,8,2,285410.183,279980,59557.406,59557,0,02/25/2019 23:40:16,02/22/2019 16:23:26,3338.0236,1639.9,27130.687,0,88979.696,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,285430.183,280000,59577.406,59577,0,02/25/2019 23:40:36,02/22/2019 16:23:26,3338.1424,1639.9,27139.797,0,89010.109,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,285450.183,280020,59597.406,59597,0,02/25/2019 23:40:56,02/22/2019 16:23:26,3338.4866,1639.9,27148.908,0,89040.524,0,30,0,0,0,0,0,0,0,26.52,25.9,,,,
187,1,SBT0550,001,1,,8,2,285470.183,280040,59617.406,59617,0,02/25/2019 23:41:16,02/22/2019 16:23:26,3338.4644,1639.9,27158.019,0,89070.94,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,285490.183,280060,59637.406,59637,0,02/25/2019 23:41:36,02/22/2019 16:23:26,3338.1874,1640.2,27167.13,0,89101.355,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,285510.183,280080,59657.406,59657,0,02/25/2019 23:41:56,02/22/2019 16:23:26,3338.3354,1640,27176.24,0,89131.769,0,30,0,0,0,0,0,0,0,26.52,26,,,,
